spotify_id,name,artists,popularity,is_explicit,duration,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7rbjz4itTy3a6c6nBhKOh0,Daylight,"BERKO CHAMP, LEXMENDY, citosxd",28,TRUE,211.301,Daylight,1999/1/1,0.523,0.428,5,-10.058,1,0.0346,0.868,0.00681,0.109,0.344,130.042,4
57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony - Remastered 2016,The Verve,79,FALSE,357.266,Urban Hymns (Remastered 2016),1997/9/29,0.356,0.917,9,-6.006,1,0.0479,0.0335,0,0.406,0.518,171.176,4
15sxLiiChE5dCW3Y756oas,I Saw Mommy Kissing Santa Claus,The Jackson 5,83,FALSE,181.266,Christmas Album,1970/10/15,0.583,0.712,3,-8.222,1,0.0538,0.263,0.00000102,0.817,0.614,128.897,4
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Creedence Clearwater Revival,85,FALSE,140.773,Willy And The Poor Boys (Expanded Edition),1969/11/2,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4
2plBBZYMIyi3ZbqDb8pSxV,One Love,TZUYU,45,FALSE,193.04,abouTZU,2024/9/6,0.818,0.739,7,-3.342,1,0.047,0.0627,0,0.0754,0.628,141.106,4
62fqMvguJbsSs9HKhhRfuS,Talk talk,Charli xcx,43,FALSE,161.757,BRAT,2024/6/7,0.579,0.892,0,-5.636,0,0.282,0.0455,0,0.137,0.639,130.146,3
4D4ZahE2dwJwvrmJVARlgk,PALISADE,YANGHONGWON,35,FALSE,88.24,SLOWMO,2024/5/24,0.841,0.526,8,-5.602,1,0.106,0.0173,0.00175,0.0988,0.591,99.983,4
2PgjJ90q1zETqCX68dxgyd,Sweet Dreams,Koe Wetzel,76,FALSE,173.269,Sweet Dreams,2024/5/17,0.71,0.57,2,-4.99,0,0.0295,0.251,0.000306,0.117,0.486,75.036,4
1uxiaf3DUS4vpOqNGu4MzL,LA DURANGO,"Peso Pluma, Junior H, Eslabon Armado",42,TRUE,262.883,LA DURANGO,2024/5/9,0.737,0.726,3,-7.29,0,0.0538,0.689,0,0.169,0.889,127.926,3
7EWtB4NKYY3NqBl31PVip9,LA PEOPLE II,"Peso Pluma, Tito Double P, Joel De La P",40,TRUE,141.064,LA PEOPLE II,2024/3/21,0.717,0.674,1,-5.269,1,0.0722,0.523,0.00000543,0.0978,0.705,132.037,3
0dEAiKNbHt4mrjjoiL0loc,Corazón de Piedra,Xavi,87,FALSE,193.568,Corazón de Piedra,2024/3/21,0.834,0.763,2,-5.475,1,0.0835,0.0354,0.00000233,0.273,0.633,134.844,3
5O3r5G2SrYQ3rYEUwwziAB,Blow Your Cover,Number_i,49,FALSE,159.898,GOAT,2024/3/6,0.811,0.544,10,-7.735,1,0.0558,0.568,0.0000136,0.126,0.396,109.967,4
0pa3uU6yzXL4onmiIBVi6t,分合,Energy,56,FALSE,246.666,分合,2024/1/27,0.577,0.706,10,-5.951,1,0.0325,0.551,0,0.141,0.383,130.015,4
44gmXwbdHjwQsQvsiraj14,Let Me Calm Down (feat. J. Cole),"Nicki Minaj, J. Cole",39,TRUE,244.446,Pink Friday 2,2023/12/8,0.765,0.591,5,-5.414,1,0.0831,0.482,0.00000694,0.114,0.471,95.538,4
40PKBUQRjtW2pUg4zv3y7r,Back 2 Back,SEVENTEEN,68,FALSE,190.306,SEVENTEEN 11th Mini Album 'SEVENTEENTH HEAVEN',2023/10/23,0.666,0.811,1,-3.89,0,0.139,0.0882,0,0.0506,0.796,110.068,4
4pCbJC43j3gSqG6Fen6upD,Hey Driver (feat. The War and Treaty),"Zach Bryan, The War and Treaty",87,FALSE,227.466,Zach Bryan,2023/8/25,0.583,0.351,0,-5.836,1,0.0306,0.494,0,0.368,0.462,79.014,4
63N9fNPJ5kkbvtntCwgIbm,能不能和我留在台北(陪我幾天),冰球樂團,62,FALSE,243,能不能和我留在台北 ( 陪我幾天 ),2022/12/22,0.644,0.786,11,-7.147,1,0.0256,0.0133,0,0.0758,0.784,95.991,4
6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,84,FALSE,163.648,emails i can't send,2022/7/15,0.74,0.697,8,-4.912,1,0.034,0.0268,0,0.224,0.732,138.992,4
3azJifCSqg9fRij2yKIbWz,The Color Violet,Tory Lanez,89,FALSE,226.466,Alone At Prom,2021/12/10,0.645,0.534,6,-10.8,0,0.0479,0.157,0,0.0863,0.463,105.02,4
4zCcKPm03kHARVAiyzlDX8,Trust in me,Lim Young Woong,58,FALSE,242.786,Mr. Trot WINNER SONG,2020/4/3,0.273,0.494,11,-3.58,1,0.0344,0.642,0,0.0996,0.26,189.142,3
4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,88,FALSE,198.04,Kid Krow,2020/3/20,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,3
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,90,FALSE,263.4,÷ (Deluxe),2017/3/3,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3
2afCBiru10AFckfOa49wIa,You & I,One Direction,75,FALSE,237.933,Midnight Memories (Deluxe),2013/11/25,0.574,0.329,1,-6.829,1,0.0274,0.22,0,0.0986,0.356,130.993,4
6FSOibqLCbhFrmGdqMbwiZ,Letting Go,Tanya Chua,67,FALSE,263.453,說到愛,2011/11/18,0.536,0.702,11,-6.327,0,0.0285,0.154,0.00000161,0.0938,0.408,136.095,4
